Brand,Category,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm)
yamaha,Enduro / offroad,249.0,28.0,21.0,Single cylinder,5-speed,74.0,58.0,11.0,Single Overhead Cams (SOHC),Oil & air,Chain,130.0,1390.0,875.0
suzuki,Sport,1340.0,197.0,155.0,In-line four,6-speed,81.0,65.0,21.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,266.0,1480.0,805.0
ducati,Naked bike,1262.0,152.0,126.0,V2,6-speed,106.0,71.5,17.0,Desmodromic valve control,Liquid,Belt,220.0,1615.0,755.0
benelli,Enduro / offroad,499.6,47.6,45.0,Twin,6-speed,69.0,66.8,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,170.0,1450.0,815.0
bmw,Sport,999.0,195.0,113.0,In-line four,6-speed,80.0,49.7,17.5,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,175.5,1425.0,815.0
honda,Custom / cruiser,398.0,30.8,32.0,V2,5-speed,64.0,62.0,10.0,Overhead Cams (OHC),Liquid,Chain,229.0,1560.0,750.0
keeway,Scooter,125.0,8.7,9.0,Single cylinder,4-speed,53.5,55.5,3.8,Single Overhead Cams (SOHC),Air,Chain,115.0,1300.0,760.0
benelli,Enduro / offroad,499.6,47.6,45.0,Twin,6-speed,69.0,66.8,15.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,170.0,1450.0,815.0
benelli,Sport,1131.0,160.0,124.0,In-line three,6-speed,88.0,62.0,19.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,199.0,1419.0,810.0
ducati,Classic,992.0,90.8,91.3,V2,6-speed,94.0,71.5,15.0,Desmodromic valve control,Air,Chain,179.0,1425.0,825.0
bmw,Naked bike,798.0,85.8,86.0,Twin,6-speed,82.0,75.6,16.0,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,177.0,1520.0,800.0
suzuki,Naked bike,1340.0,181.0,146.0,In-line four,6-speed,81.0,65.0,16.5,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,235.0,1525.0,805.0
harley-davidson,Touring,1688.0,87.0,138.0,V2,6-speed,98.4,111.3,22.71,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,363.0,1625.0,705.0
harley-davidson,Custom / cruiser,1690.0,80.0,130.0,V2,6-speed,98.4,111.3,17.79,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,295.0,1715.0,680.0
triumph,Naked bike,765.0,121.0,79.0,In-line three,6-speed,78.0,53.4,17.4,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,166.0,1405.0,825.0
ducati,Naked bike,1198.4,162.0,127.0,V2,6-speed,106.0,67.9,17.0,Desmodromic valve control,Liquid,Chain,210.0,1590.0,770.0
harley-davidson,Custom / cruiser,1746.0,86.0,145.0,V2,6-speed,98.4,111.1,18.93,Double Overhead Cams/Twin Cam (DOHC),Air,Belt,303.0,1631.0,680.0
